START_YEAR,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1982,0,0,0,0,0,0,0,0,0,0,0,0.073736864,0.150780072,0.244089951,0.342226989,0.387761856,0.492096694,0.625878618,0.827129721,1.071199435,1.254823541,1.389526652,1.446911997,1.548607905,1.687541102,1.789215151,1.858481375,1.94215095,2.115230728,2.246052083,2.30631528,2.408516794,2.467384526,2.58198277,2.697409875,2.828622401,2.949733619,3.135330025,3.231781849,3.289245359,3.380508007,3.419882648,3.473408413,3.56346673
1983,0,0,0,0,0,0,0,0,0,0,0,0,0.07175241,0.158654408,0.250052069,0.292459915,0.389629753,0.514224455,0.701655016,0.9289637,1.099977765,1.225430392,1.278874907,1.373587039,1.502979259,1.597671034,1.66218053,1.740104254,1.901298103,2.023135547,2.079260282,2.174443299,2.229268399,2.335996825,2.443497189,2.565698942,2.678493074,2.851343995,2.941172171,2.994689482,3.079684839,3.116355501,3.166205484,3.250079215
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081084023,0.166362732,0.205931428,0.296595874,0.412849125,0.587731457,0.799822125,0.959387024,1.076440763,1.126307238,1.214678518,1.3354081,1.423760385,1.483951055,1.556657889,1.707060022,1.820740609,1.873107868,1.961918507,2.01307314,2.112656238,2.212959594,2.326980101,2.432222815,2.593501595,2.677315893,2.727250291,2.806555321,2.84077093,2.887283522,2.965542017
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078882591,0.115483535,0.199347919,0.306881884,0.4686476,0.664830934,0.812428064,0.920702478,0.966828842,1.048572053,1.160246613,1.241972254,1.297648472,1.364902111,1.504023705,1.609177962,1.657617544,1.739767162,1.787085069,1.879199183,1.971979536,2.077448218,2.174797463,2.323979929,2.401507943,2.447697135,2.521054088,2.552703441,2.595727471,2.668116382
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033924863,0.111657496,0.211329105,0.361267308,0.543106681,0.679912235,0.780270156,0.823023986,0.898790536,1.002300001,1.078050265,1.129655712,1.191992095,1.320941802,1.418407697,1.463305615,1.539448857,1.58330711,1.668686294,1.754683003,1.852440334,1.94267188,2.080946858,2.152806405,2.195618471,2.263611924,2.292947231,2.332825556,2.399921746
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07518209,0.171583302,0.316601773,0.492474682,0.624791408,0.721856413,0.763207416,0.836487934,0.936601074,1.009865841,1.059778025,1.120069043,1.244787687,1.339055558,1.382480297,1.456125148,1.498544336,1.581122081,1.664297089,1.758846832,1.846117726,1.979855662,2.049357374,2.090764701,2.156527172,2.184899937,2.223469785,2.288364433
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089660359,0.224538415,0.388113414,0.511177895,0.601455631,0.639915166,0.708071545,0.801184275,0.869326005,0.915748079,0.971823249,1.087820944,1.175497135,1.215885401,1.284380636,1.323833663,1.400637161,1.477996158,1.565934512,1.64710299,1.771489303,1.836131109,1.874643029,1.93580706,1.96219586,1.998068712,2.058425603
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123779906,0.273895488,0.386833873,0.469683299,0.504978274,0.567526552,0.652977702,0.715512535,0.75811487,0.809576015,0.916029089,0.996491033,1.033556037,1.096415289,1.132622009,1.203105896,1.274099575,1.35480211,1.429291815,1.543443268,1.602766161,1.638109211,1.694240491,1.718457946,1.751379077,1.806769631
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133580945,0.234079614,0.307803504,0.339210877,0.39486971,0.470908754,0.526555624,0.56446548,0.610258383,0.704986073,0.776585453,0.809567893,0.865503448,0.897722141,0.960442507,1.023616513,1.095429984,1.161714942,1.263293065,1.316081776,1.34753193,1.397480572,1.419030569,1.448325569,1.497615072
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088655927,0.153692209,0.181398544,0.230498551,0.29757717,0.346666624,0.38010919,0.420505868,0.504070866,0.56723299,0.596328786,0.645672906,0.674094955,0.729424366,0.785153961,0.848504947,0.906978899,0.996587077,1.043155178,1.070899251,1.114961955,1.133972506,1.159815389,1.203296627
